DersKodu;DersAdi;DersiVeren;DersUzunluk;AKTS;OgrSayisi;AcildigiProgram;Donem
KMS-302-50-50;Su Kirliliði ve Kontrolü;Doç.Dr. Tuba Hatice DOÐAN;3;4;5;Kimya Mühendisliði Programý;6
KMS-402-50-50;Gýda Ýþleme Mühendisliði;Prof.Dr. Saliha ERENTÜRK;3;0;7;Kimya Mühendisliði Programý;6
KMS-402-50-50;Gýda Ýþleme Mühendisliði;Prof.Dr. Saliha ERENTÜRK;3;0;7;Kimya Mühendisliði Programý;8
KMS-402-50-50-2017;Gýda Ýþleme Mühendisliði;Prof.Dr. Saliha ERENTÜRK;3;4;1;Kimya Mühendisliði Programý;6
KMS-402-50-50-2017;Gýda Ýþleme Mühendisliði;Prof.Dr. Saliha ERENTÜRK;3;4;1;Kimya Mühendisliði Programý;8
IM-312-50-50;Temel Ýnþaatý;Dr. Öðr. Üyesi Zeynep Neþe KURT ALBAYRAK;3;NULL;2;Ýnþaat Mühendisliði Programý;6
INM-312-50-50;Temel Ýnþaatý;Dr. Öðr. Üyesi Zeynep Neþe KURT ALBAYRAK;3;5;80;Ýnþaat Mühendisliði Programý;6
IM-308-;Betonarme I;NULL;3;0;0;Ýnþaat Mühendisliði Programý;6
INM-308;Betonarme I;NULL;3;5;0;Ýnþaat Mühendisliði Programý;6
IMS-202-50-50-KREDÝ;Ulaþtýrma Planlamasýna Giriþ;Prof.Dr. Ahmet TORTUM;3;4;2;Ýnþaat Mühendisliði Programý;4
IM-302-50-50;Yapý Statiði II;Doç.Dr. Oðuz Akýn DÜZGÜN;3;NULL;2;Ýnþaat Mühendisliði Programý;6
INM-302-50-50;Yapý Statiði II;Doç.Dr. Oðuz Akýn DÜZGÜN;3;5;65;Ýnþaat Mühendisliði Programý;6
INM-406-50-50-2017;Yapý Ýþletme ve Þantiye Tekniði;Doç.Dr. Rýza POLAT;3;5;5;Ýnþaat Mühendisliði Programý;8
INM-314-50-50-2018;Yapý Ýþletme ve Þantiye Tekniði;Doç.Dr. Rýza POLAT;3;4;69;Ýnþaat Mühendisliði Programý;6
IM-304-50-50;Zemin Mekaniði II;Doç.Dr. Semet ÇELÝK;3;NULL;2;Ýnþaat Mühendisliði Programý;6
